hops,dataset,max_accuracy,epsilon,avg_accuracy
15,chains,100.0,-1.0,95.83333333333333
10,chains,93.75,-1.0,95.83333333333333
9,chains,93.75,-1.0,95.83333333333333
3,chains,65.62,1.0,64.58
6,chains,65.62,1.0,64.58
9,chains,62.5,1.0,64.58
3,chains,65.62,2.0,64.58
6,chains,65.62,2.0,64.58
9,chains,62.5,2.0,64.58
3,chains,65.62,4.0,62.5
6,chains,62.5,4.0,62.5
7,chains,59.38,4.0,62.5
3,chains,65.62,8.0,61.46
1,chains,59.38,8.0,61.46
6,chains,59.38,8.0,61.46
3,chains,62.5,16.0,60.419999999999995
1,chains,59.38,16.0,60.419999999999995
2,chains,59.38,16.0,60.419999999999995
7,chains,59.38,32.0,58.336666666666666
3,chains,59.38,32.0,58.336666666666666
9,chains,56.25,32.0,58.336666666666666
